mentee_id,categories,gender,styles,environment
53,"필라테스, 코딩, 헬스","여자, 남자","협력적, 비즈니스, 친목","오프라인, 온라인"
54,"주식, 프로젝트, 헬스","여자, 남자","신중함, 긍정적, 차분함","오프라인, 온라인"
55,"테니스, 명상, 경제",남자,"차분함, 스파르타, 천천히","오프라인, 온라인"
56,"영화, 미술, 명상","여자, 남자","비즈니스, 긍정적, 신중함","온라인, 오프라인"
57,"프로젝트, 축구, 면접","여자, 남자","꼼꼼함, 천천히, 차분함",오프라인
58,"미술, 자격증, 코딩",남자,"꼼꼼함, 천천히, 친목","온라인, 오프라인"
59,"음악, 식단, 필라테스","남자, 여자","신중함, 긍정적, 스파르타",오프라인
60,"미술, 종교, 테니스","남자, 여자","친목, 스파르타, 활발함","오프라인, 온라인"
61,"축구, 독서, 자격증",여자,"비즈니스, 스파르타, 긍정적",온라인
62,"다이어트, 음악, 테니스","남자, 여자","차분함, 긍정적, 꼼꼼함",오프라인
63,"영화, 경제, 종교",남자,"스파르타, 차분함, 긍정적",온라인
64,"면접, 프로젝트, 헬스",여자,"친목, 차분함, 천천히","온라인, 오프라인"
65,"음악, 다이어트, 축구",여자,"차분함, 스파르타, 친목","온라인, 오프라인"
66,"테니스, 경제, 외국어",남자,"꼼꼼함, 긍정적, 협력적","온라인, 오프라인"
67,"주식, 식단, 미술",여자,"차분함, 친목, 꼼꼼함",오프라인
68,"주식, 코딩, 테니스","여자, 남자","꼼꼼함, 협력적, 친목","온라인, 오프라인"
69,"코딩, 외국어, 주식",남자,"신중함, 친목, 천천히","온라인, 오프라인"
70,"테니스, 자격증, 코딩","여자, 남자","친목, 천천히, 긍정적",온라인
71,"영화, 독서, 자격증","여자, 남자","비즈니스, 스파르타, 협력적","온라인, 오프라인"
72,"외국어, 미술, 테니스",남자,"꼼꼼함, 차분함, 천천히","온라인, 오프라인"
73,"주식, 명상, 테니스","여자, 남자","꼼꼼함, 차분함, 협력적",온라인
74,"식단, 면접, 미술","남자, 여자","긍정적, 꼼꼼함, 차분함",온라인
75,"미술, 프로젝트, 자격증","남자, 여자","차분함, 협력적, 긍정적","오프라인, 온라인"
76,"외국어, 식단, 헬스","남자, 여자","꼼꼼함, 협력적, 차분함",온라인
77,"주식, 프로젝트, 다이어트",여자,"차분함, 신중함, 활발함",오프라인
78,"테니스, 필라테스, 영화",여자,"신중함, 긍정적, 꼼꼼함","오프라인, 온라인"
79,"음악, 테니스, 종교",남자,"스파르타, 친목, 차분함","온라인, 오프라인"
80,"영화, 음악, 외국어",남자,"스파르타, 활발함, 꼼꼼함","온라인, 오프라인"
81,"면접, 미술, 필라테스",남자,"활발함, 긍정적, 차분함",온라인
82,"음악, 다이어트, 필라테스","남자, 여자","차분함, 꼼꼼함, 비즈니스","온라인, 오프라인"
83,"면접, 음악, 다이어트","남자, 여자","긍정적, 비즈니스, 활발함","온라인, 오프라인"
84,"필라테스, 미술, 면접","남자, 여자","천천히, 스파르타, 활발함",온라인
85,"자격증, 헬스, 코딩","남자, 여자","차분함, 친목, 꼼꼼함",오프라인
86,"자격증, 테니스, 면접","여자, 남자","스파르타, 활발함, 꼼꼼함","온라인, 오프라인"
87,"자격증, 프로젝트, 다이어트","여자, 남자","차분함, 활발함, 스파르타","오프라인, 온라인"
88,"종교, 필라테스, 다이어트",남자,"꼼꼼함, 협력적, 차분함",오프라인
89,"다이어트, 테니스, 코딩",남자,"차분함, 스파르타, 신중함","온라인, 오프라인"
90,"외국어, 명상, 경제",남자,"친목, 협력적, 스파르타","온라인, 오프라인"
91,"외국어, 프로젝트, 경제",남자,"긍정적, 천천히, 차분함","오프라인, 온라인"
92,"미술, 테니스, 축구",남자,"신중함, 협력적, 스파르타","오프라인, 온라인"
93,"영화, 헬스, 미술","남자, 여자","비즈니스, 활발함, 꼼꼼함","온라인, 오프라인"
94,"주식, 미술, 음악","여자, 남자","활발함, 비즈니스, 천천히",온라인
95,"면접, 영화, 다이어트","남자, 여자","친목, 천천히, 스파르타","온라인, 오프라인"
96,"영화, 음악, 식단","남자, 여자","천천히, 비즈니스, 활발함",온라인
97,"자격증, 독서, 식단",여자,"비즈니스, 활발함, 차분함","온라인, 오프라인"
98,"경제, 독서, 다이어트","남자, 여자","차분함, 활발함, 협력적","오프라인, 온라인"
99,"면접, 명상, 필라테스","여자, 남자","친목, 협력적, 비즈니스",온라인
100,"자격증, 헬스, 주식",남자,"신중함, 친목, 긍정적","온라인, 오프라인"
101,"자격증, 미술, 경제",남자,"천천히, 꼼꼼함, 차분함",오프라인
102,"테니스, 다이어트, 자격증",남자,"신중함, 천천히, 꼼꼼함","온라인, 오프라인"
103,"면접, 코딩, 테니스","남자, 여자","신중함, 차분함, 긍정적","온라인, 오프라인"
104,"주식, 헬스, 다이어트","여자, 남자","꼼꼼함, 친목, 활발함",온라인
105,"자격증, 음악, 축구",여자,"천천히, 차분함, 긍정적",오프라인
106,"테니스, 프로젝트, 종교",남자,"차분함, 긍정적, 협력적",온라인
107,"프로젝트, 경제, 음악","남자, 여자","신중함, 꼼꼼함, 비즈니스","온라인, 오프라인"
108,"면접, 식단, 다이어트","여자, 남자","스파르타, 활발함, 꼼꼼함","오프라인, 온라인"
109,"프로젝트, 종교, 축구","남자, 여자","긍정적, 비즈니스, 친목",오프라인
110,"축구, 다이어트, 필라테스","남자, 여자","스파르타, 친목, 긍정적",온라인
111,"필라테스, 프로젝트, 음악","여자, 남자","비즈니스, 활발함, 친목",오프라인
112,"음악, 면접, 축구",남자,"차분함, 스파르타, 활발함",온라인
113,"독서, 영화, 헬스","남자, 여자","비즈니스, 신중함, 스파르타","오프라인, 온라인"
114,"주식, 경제, 종교",여자,"차분함, 스파르타, 친목","오프라인, 온라인"
115,"프로젝트, 축구, 음악",여자,"신중함, 활발함, 스파르타",오프라인
116,"면접, 필라테스, 헬스","남자, 여자","활발함, 스파르타, 천천히",온라인
117,"영화, 독서, 외국어","남자, 여자","활발함, 차분함, 신중함","온라인, 오프라인"
118,"테니스, 자격증, 다이어트",남자,"활발함, 긍정적, 천천히","온라인, 오프라인"
119,"자격증, 필라테스, 종교",여자,"긍정적, 협력적, 신중함",온라인
120,"음악, 주식, 식단","남자, 여자","천천히, 친목, 차분함",온라인
121,"경제, 프로젝트, 독서","남자, 여자","긍정적, 차분함, 꼼꼼함","온라인, 오프라인"
122,"테니스, 외국어, 프로젝트","여자, 남자","긍정적, 협력적, 차분함","온라인, 오프라인"
123,"테니스, 영화, 종교","여자, 남자","천천히, 꼼꼼함, 비즈니스","온라인, 오프라인"
124,"음악, 독서, 외국어","남자, 여자","협력적, 꼼꼼함, 천천히",온라인
125,"종교, 식단, 코딩","여자, 남자","천천히, 차분함, 협력적",온라인
126,"식단, 영화, 축구",여자,"활발함, 비즈니스, 꼼꼼함",온라인
127,"필라테스, 면접, 미술",남자,"활발함, 친목, 스파르타",온라인
128,"주식, 축구, 코딩",여자,"긍정적, 비즈니스, 차분함","오프라인, 온라인"
129,"종교, 식단, 주식",남자,"스파르타, 천천히, 긍정적","오프라인, 온라인"
130,"명상, 면접, 음악",남자,"꼼꼼함, 친목, 긍정적",온라인
131,"경제, 독서, 자격증","여자, 남자","친목, 스파르타, 신중함",온라인
132,"헬스, 영화, 프로젝트",여자,"신중함, 스파르타, 차분함","오프라인, 온라인"
133,"프로젝트, 축구, 필라테스",남자,"긍정적, 활발함, 비즈니스","오프라인, 온라인"
134,"명상, 필라테스, 미술","남자, 여자","비즈니스, 꼼꼼함, 활발함","온라인, 오프라인"
135,"명상, 음악, 필라테스",남자,"활발함, 긍정적, 신중함","온라인, 오프라인"
136,"외국어, 다이어트, 경제","여자, 남자","비즈니스, 신중함, 협력적","온라인, 오프라인"
137,"독서, 경제, 주식","남자, 여자","차분함, 신중함, 긍정적","온라인, 오프라인"
138,"필라테스, 코딩, 종교",남자,"긍정적, 꼼꼼함, 활발함",오프라인
139,"미술, 자격증, 종교","남자, 여자","차분함, 긍정적, 신중함",오프라인
140,"독서, 외국어, 프로젝트","남자, 여자","친목, 비즈니스, 꼼꼼함",온라인
141,"축구, 독서, 헬스",남자,"활발함, 긍정적, 스파르타",오프라인
142,"다이어트, 면접, 코딩",남자,"친목, 꼼꼼함, 스파르타","오프라인, 온라인"
143,"헬스, 영화, 테니스",남자,"신중함, 친목, 비즈니스",오프라인
144,"헬스, 프로젝트, 축구","여자, 남자","비즈니스, 차분함, 친목","오프라인, 온라인"
145,"주식, 필라테스, 코딩",남자,"비즈니스, 친목, 천천히",오프라인
146,"종교, 명상, 음악","남자, 여자","긍정적, 스파르타, 활발함",오프라인
147,"주식, 헬스, 명상",남자,"차분함, 신중함, 스파르타",온라인
148,"음악, 외국어, 미술",남자,"스파르타, 활발함, 꼼꼼함","온라인, 오프라인"
149,"주식, 헬스, 코딩","여자, 남자","꼼꼼함, 천천히, 차분함",오프라인
150,"음악, 다이어트, 필라테스",여자,"긍정적, 신중함, 차분함","온라인, 오프라인"
151,"축구, 외국어, 프로젝트",여자,"긍정적, 신중함, 활발함","온라인, 오프라인"
152,"독서, 축구, 프로젝트",남자,"천천히, 활발함, 친목","온라인, 오프라인"
153,"테니스, 다이어트, 식단","여자, 남자","긍정적, 천천히, 비즈니스","오프라인, 온라인"
154,"헬스, 명상, 영화","여자, 남자","천천히, 꼼꼼함, 차분함",온라인
155,"헬스, 외국어, 독서","남자, 여자","꼼꼼함, 비즈니스, 긍정적","온라인, 오프라인"
156,"영화, 경제, 독서",남자,"차분함, 비즈니스, 활발함","온라인, 오프라인"
157,"헬스, 축구, 영화",여자,"협력적, 긍정적, 친목","오프라인, 온라인"
158,"식단, 음악, 주식","여자, 남자","협력적, 스파르타, 신중함",온라인
159,"주식, 명상, 다이어트","남자, 여자","천천히, 차분함, 친목",오프라인
160,"외국어, 다이어트, 자격증","남자, 여자","차분함, 활발함, 친목","온라인, 오프라인"
161,"필라테스, 프로젝트, 독서",여자,"긍정적, 친목, 스파르타","온라인, 오프라인"
162,"자격증, 음악, 미술",남자,"친목, 신중함, 활발함",오프라인
163,"자격증, 면접, 경제","여자, 남자","차분함, 활발함, 비즈니스",오프라인
164,"독서, 경제, 코딩",여자,"비즈니스, 친목, 활발함","오프라인, 온라인"
165,"자격증, 필라테스, 헬스",여자,"비즈니스, 천천히, 긍정적",온라인
166,"필라테스, 종교, 식단",남자,"꼼꼼함, 협력적, 천천히","온라인, 오프라인"
167,"면접, 영화, 코딩",여자,"스파르타, 긍정적, 천천히","오프라인, 온라인"
168,"필라테스, 독서, 자격증","남자, 여자","긍정적, 친목, 활발함","오프라인, 온라인"
169,"코딩, 미술, 식단","남자, 여자","스파르타, 활발함, 천천히",온라인
170,"자격증, 필라테스, 축구",남자,"긍정적, 천천히, 협력적",오프라인
171,"자격증, 테니스, 축구",남자,"신중함, 긍정적, 협력적",오프라인
172,"영화, 코딩, 경제","여자, 남자","긍정적, 신중함, 비즈니스",온라인
173,"주식, 자격증, 프로젝트","남자, 여자","협력적, 신중함, 비즈니스",오프라인
174,"종교, 독서, 명상",여자,"꼼꼼함, 친목, 천천히",온라인
175,"명상, 외국어, 음악",여자,"협력적, 스파르타, 꼼꼼함",온라인
176,"축구, 명상, 외국어","남자, 여자","신중함, 천천히, 비즈니스",오프라인
177,"축구, 종교, 영화","여자, 남자","신중함, 천천히, 꼼꼼함",오프라인
178,"다이어트, 식단, 독서","남자, 여자","신중함, 친목, 스파르타","오프라인, 온라인"
179,"주식, 축구, 코딩",여자,"천천히, 스파르타, 비즈니스","오프라인, 온라인"
180,"종교, 프로젝트, 독서","남자, 여자","차분함, 천천히, 꼼꼼함","온라인, 오프라인"
181,"코딩, 면접, 필라테스","여자, 남자","활발함, 신중함, 비즈니스",오프라인
182,"종교, 명상, 식단",여자,"차분함, 스파르타, 친목",온라인
183,"식단, 독서, 음악",여자,"친목, 차분함, 천천히",온라인
184,"종교, 축구, 명상","여자, 남자","꼼꼼함, 활발함, 차분함","오프라인, 온라인"
185,"종교, 독서, 면접","남자, 여자","활발함, 꼼꼼함, 친목",온라인
186,"테니스, 코딩, 면접","남자, 여자","비즈니스, 신중함, 활발함","온라인, 오프라인"
187,"헬스, 식단, 주식",여자,"꼼꼼함, 협력적, 스파르타","오프라인, 온라인"
188,"필라테스, 축구, 식단","여자, 남자","협력적, 스파르타, 꼼꼼함","오프라인, 온라인"
189,"음악, 면접, 필라테스","남자, 여자","긍정적, 친목, 협력적","오프라인, 온라인"
190,"외국어, 식단, 영화",남자,"친목, 비즈니스, 스파르타",오프라인
191,"종교, 경제, 축구",남자,"비즈니스, 꼼꼼함, 긍정적",온라인
192,"경제, 코딩, 다이어트",남자,"협력적, 천천히, 활발함",오프라인
193,"프로젝트, 영화, 테니스",여자,"친목, 긍정적, 비즈니스",온라인
194,"다이어트, 주식, 경제",남자,"친목, 신중함, 스파르타",온라인
195,"테니스, 코딩, 미술",남자,"꼼꼼함, 스파르타, 차분함","오프라인, 온라인"
196,"영화, 필라테스, 경제","여자, 남자","비즈니스, 친목, 차분함","오프라인, 온라인"
197,"영화, 음악, 식단","여자, 남자","스파르타, 긍정적, 비즈니스","온라인, 오프라인"
198,"프로젝트, 종교, 음악","남자, 여자","친목, 협력적, 비즈니스",오프라인
199,"주식, 테니스, 경제",남자,"친목, 신중함, 스파르타",오프라인
200,"경제, 코딩, 필라테스","남자, 여자","천천히, 협력적, 신중함",오프라인
201,"경제, 영화, 종교","남자, 여자","활발함, 친목, 신중함",오프라인
202,"독서, 헬스, 경제",여자,"신중함, 스파르타, 활발함","오프라인, 온라인"
203,"식단, 미술, 코딩",여자,"차분함, 협력적, 긍정적",온라인
204,"음악, 명상, 다이어트",남자,"친목, 비즈니스, 차분함",오프라인
205,"다이어트, 독서, 음악",남자,"긍정적, 비즈니스, 친목",오프라인
206,"다이어트, 미술, 경제",여자,"차분함, 스파르타, 활발함",오프라인
207,"종교, 영화, 자격증","여자, 남자","신중함, 꼼꼼함, 협력적",온라인
208,"면접, 미술, 헬스","남자, 여자","차분함, 꼼꼼함, 비즈니스",온라인
209,"명상, 음악, 외국어",여자,"스파르타, 긍정적, 친목","오프라인, 온라인"
210,"코딩, 미술, 프로젝트",여자,"스파르타, 비즈니스, 꼼꼼함","오프라인, 온라인"
211,"프로젝트, 영화, 미술","남자, 여자","꼼꼼함, 활발함, 신중함","온라인, 오프라인"
212,"자격증, 다이어트, 코딩","여자, 남자","꼼꼼함, 차분함, 천천히","오프라인, 온라인"
213,"영화, 음악, 미술",여자,"협력적, 활발함, 천천히",온라인
214,"명상, 미술, 필라테스","남자, 여자","긍정적, 신중함, 활발함","오프라인, 온라인"
215,"면접, 주식, 식단","여자, 남자","신중함, 긍정적, 차분함","오프라인, 온라인"
216,"코딩, 미술, 식단",여자,"차분함, 신중함, 꼼꼼함","온라인, 오프라인"
217,"외국어, 식단, 음악",남자,"스파르타, 활발함, 친목",오프라인
218,"필라테스, 독서, 식단","남자, 여자","활발함, 천천히, 협력적",오프라인
219,"명상, 필라테스, 축구",남자,"활발함, 긍정적, 신중함",온라인
220,"면접, 자격증, 경제",남자,"꼼꼼함, 친목, 비즈니스",온라인
221,"축구, 코딩, 주식",여자,"긍정적, 스파르타, 활발함","온라인, 오프라인"
222,"자격증, 식단, 테니스","여자, 남자","협력적, 활발함, 스파르타",온라인
223,"음악, 코딩, 외국어","남자, 여자","긍정적, 스파르타, 천천히","오프라인, 온라인"
224,"명상, 미술, 테니스",여자,"협력적, 스파르타, 친목",오프라인
225,"종교, 미술, 면접","여자, 남자","협력적, 친목, 긍정적","오프라인, 온라인"
226,"면접, 다이어트, 프로젝트",여자,"활발함, 신중함, 협력적",오프라인
227,"독서, 코딩, 축구","여자, 남자","꼼꼼함, 긍정적, 신중함",오프라인
228,"독서, 주식, 자격증",남자,"활발함, 스파르타, 신중함",오프라인
229,"주식, 프로젝트, 면접",여자,"스파르타, 천천히, 신중함","온라인, 오프라인"
230,"외국어, 종교, 독서",남자,"활발함, 차분함, 비즈니스",온라인
231,"다이어트, 경제, 헬스",남자,"신중함, 천천히, 활발함",오프라인
232,"헬스, 음악, 미술","여자, 남자","스파르타, 차분함, 비즈니스",온라인
233,"음악, 독서, 미술",남자,"친목, 천천히, 긍정적",온라인
234,"독서, 식단, 다이어트","여자, 남자","신중함, 친목, 스파르타","오프라인, 온라인"
235,"영화, 독서, 음악","여자, 남자","비즈니스, 활발함, 꼼꼼함",오프라인
236,"경제, 식단, 음악","여자, 남자","협력적, 천천히, 꼼꼼함","오프라인, 온라인"
237,"프로젝트, 영화, 종교","남자, 여자","협력적, 꼼꼼함, 비즈니스",오프라인
238,"코딩, 헬스, 종교",남자,"친목, 비즈니스, 긍정적","온라인, 오프라인"
239,"음악, 다이어트, 외국어",여자,"친목, 활발함, 협력적",온라인
240,"독서, 음악, 코딩","여자, 남자","차분함, 신중함, 긍정적",오프라인
241,"주식, 축구, 미술",여자,"친목, 신중함, 스파르타",오프라인
242,"프로젝트, 면접, 명상",남자,"차분함, 활발함, 긍정적","오프라인, 온라인"
243,"종교, 음악, 헬스",여자,"신중함, 친목, 비즈니스",온라인
244,"프로젝트, 헬스, 다이어트",남자,"활발함, 신중함, 꼼꼼함",오프라인
245,"헬스, 프로젝트, 외국어","남자, 여자","꼼꼼함, 비즈니스, 차분함","온라인, 오프라인"
246,"미술, 헬스, 테니스",남자,"활발함, 천천히, 신중함",온라인
247,"축구, 주식, 코딩",남자,"긍정적, 꼼꼼함, 협력적","온라인, 오프라인"
248,"필라테스, 음악, 식단","남자, 여자","차분함, 천천히, 활발함",온라인
249,"경제, 헬스, 테니스","여자, 남자","천천히, 긍정적, 비즈니스","온라인, 오프라인"
250,"외국어, 코딩, 테니스",여자,"스파르타, 비즈니스, 차분함","오프라인, 온라인"
251,"다이어트, 종교, 식단","여자, 남자","천천히, 협력적, 비즈니스",온라인
252,"다이어트, 축구, 식단","여자, 남자","협력적, 활발함, 신중함",온라인
253,"자격증, 독서, 음악",남자,"스파르타, 친목, 비즈니스",온라인
254,"경제, 필라테스, 코딩",여자,"활발함, 스파르타, 꼼꼼함","오프라인, 온라인"
255,"경제, 식단, 헬스","여자, 남자","꼼꼼함, 협력적, 활발함","온라인, 오프라인"
256,"테니스, 헬스, 필라테스","여자, 남자","꼼꼼함, 신중함, 협력적","온라인, 오프라인"
257,"음악, 독서, 면접","여자, 남자","스파르타, 친목, 신중함",오프라인
258,"외국어, 헬스, 종교","여자, 남자","신중함, 차분함, 꼼꼼함","온라인, 오프라인"
259,"식단, 필라테스, 경제","여자, 남자","협력적, 긍정적, 꼼꼼함","오프라인, 온라인"
260,"테니스, 음악, 면접","여자, 남자","천천히, 활발함, 긍정적",오프라인
261,"음악, 식단, 독서","남자, 여자","협력적, 활발함, 천천히",오프라인
262,"테니스, 독서, 미술","남자, 여자","긍정적, 차분함, 꼼꼼함","온라인, 오프라인"
263,"자격증, 명상, 다이어트","여자, 남자","스파르타, 활발함, 협력적","온라인, 오프라인"
264,"음악, 다이어트, 식단",여자,"스파르타, 비즈니스, 협력적","오프라인, 온라인"
265,"자격증, 주식, 외국어","여자, 남자","차분함, 꼼꼼함, 긍정적",오프라인
266,"미술, 외국어, 코딩","여자, 남자","활발함, 차분함, 꼼꼼함","온라인, 오프라인"
267,"독서, 식단, 명상","남자, 여자","활발함, 긍정적, 꼼꼼함",온라인
268,"필라테스, 주식, 면접",남자,"활발함, 천천히, 스파르타",온라인
269,"다이어트, 종교, 자격증",남자,"스파르타, 비즈니스, 천천히","온라인, 오프라인"
270,"독서, 주식, 면접",남자,"협력적, 천천히, 친목","오프라인, 온라인"
271,"면접, 영화, 주식","남자, 여자","협력적, 꼼꼼함, 긍정적","온라인, 오프라인"
272,"테니스, 코딩, 외국어","여자, 남자","스파르타, 긍정적, 꼼꼼함",온라인
273,"헬스, 명상, 음악",여자,"스파르타, 친목, 비즈니스","오프라인, 온라인"
274,"미술, 필라테스, 코딩","여자, 남자","긍정적, 꼼꼼함, 차분함","오프라인, 온라인"
275,"영화, 독서, 경제","남자, 여자","긍정적, 스파르타, 친목",온라인
276,"코딩, 자격증, 테니스","여자, 남자","활발함, 긍정적, 협력적","온라인, 오프라인"
277,"코딩, 영화, 음악","남자, 여자","천천히, 차분함, 협력적","오프라인, 온라인"
278,"테니스, 면접, 필라테스","여자, 남자","차분함, 스파르타, 긍정적","오프라인, 온라인"
279,"영화, 음악, 명상",여자,"비즈니스, 스파르타, 친목","오프라인, 온라인"
280,"헬스, 테니스, 주식",여자,"긍정적, 차분함, 활발함",오프라인
281,"외국어, 미술, 자격증",남자,"꼼꼼함, 비즈니스, 긍정적",오프라인
282,"명상, 다이어트, 코딩",남자,"활발함, 꼼꼼함, 신중함","온라인, 오프라인"
283,"축구, 자격증, 테니스","남자, 여자","천천히, 꼼꼼함, 차분함",온라인
284,"외국어, 음악, 주식","남자, 여자","활발함, 차분함, 긍정적",온라인
285,"필라테스, 명상, 미술",여자,"차분함, 활발함, 친목",온라인
286,"종교, 헬스, 독서","여자, 남자","친목, 협력적, 차분함","온라인, 오프라인"
287,"독서, 축구, 자격증","여자, 남자","친목, 차분함, 협력적","오프라인, 온라인"
288,"외국어, 독서, 테니스",여자,"긍정적, 차분함, 스파르타",온라인
289,"면접, 음악, 식단","남자, 여자","신중함, 천천히, 긍정적",오프라인
290,"음악, 헬스, 코딩","남자, 여자","스파르타, 비즈니스, 천천히","온라인, 오프라인"
291,"외국어, 명상, 프로젝트","남자, 여자","비즈니스, 긍정적, 친목",온라인
292,"외국어, 면접, 음악",여자,"스파르타, 신중함, 비즈니스",오프라인
293,"종교, 테니스, 영화",여자,"스파르타, 활발함, 친목","오프라인, 온라인"
294,"면접, 테니스, 자격증",여자,"꼼꼼함, 친목, 협력적","온라인, 오프라인"
295,"미술, 외국어, 축구","여자, 남자","신중함, 스파르타, 협력적","온라인, 오프라인"
296,"헬스, 독서, 영화",남자,"꼼꼼함, 신중함, 친목","오프라인, 온라인"
297,"주식, 면접, 외국어","남자, 여자","꼼꼼함, 긍정적, 신중함",오프라인
298,"면접, 자격증, 종교","남자, 여자","스파르타, 친목, 신중함",온라인
299,"주식, 헬스, 영화",남자,"친목, 차분함, 신중함","온라인, 오프라인"
300,"미술, 영화, 음악",여자,"비즈니스, 차분함, 긍정적","온라인, 오프라인"
301,"음악, 외국어, 필라테스",남자,"비즈니스, 스파르타, 활발함",온라인
302,"식단, 외국어, 경제",남자,"친목, 협력적, 꼼꼼함","오프라인, 온라인"
303,"코딩, 프로젝트, 자격증",여자,"신중함, 긍정적, 꼼꼼함",온라인
304,"음악, 축구, 경제",남자,"협력적, 꼼꼼함, 천천히",온라인
305,"다이어트, 코딩, 프로젝트","여자, 남자","비즈니스, 천천히, 스파르타",온라인
306,"식단, 테니스, 필라테스",여자,"꼼꼼함, 천천히, 신중함","오프라인, 온라인"
307,"음악, 종교, 필라테스","남자, 여자","활발함, 긍정적, 친목",오프라인
